Angular frequency (rad/s),Step time (min),Temperature (degC),Oscillation strain (%),Oscillation stress (Mpa),Tan(delta),Storage modulus (Mpa),Loss modulus (Mpa)
13.5367,24.4339,154.92,0.499633,0.0384481,0.166142,7.5912,1.26121
29.164,36.5921,154.94,0.499522,0.0419701,0.216909,8.21112,1.78107
62.8319,59.6594,154.97,0.500274,0.0473415,0.283647,9.10397,2.58231
135.367,82.9212,155,0.500064,0.0535293,0.366199,10.0517,3.68093
291.64,96.512,155.01,0.499799,0.0648041,0.423343,11.9401,5.05477
628.319,123.619,155.03,0.452207,0.0652022,0.74432,11.5664,8.60909
6.28319,11.5303,159.92,0.499518,0.0410385,0.123382,8.1538,1.00603
13.5367,23.8897,159.94,0.499599,0.0439725,0.161837,8.68851,1.40612
29.164,36.0469,159.96,0.499533,0.0478357,0.207809,9.37577,1.94837
62.8319,59.1035,159.99,0.499797,0.053657,0.267386,10.3714,2.77317
135.367,82.376,160.01,0.500076,0.0603855,0.340565,11.4306,3.89285
291.64,95.9873,160.02,0.4998,0.0720074,0.392244,13.4124,5.26091
